DATE,WEEKDAY,STATION,COUNT_PICKUP,COUNT_RETURN,BALANCE,CAPACITY,IMBALANCE_FACTOR,TURNOVER
2023-10-28,no,10th & H St NE,42.0,51.0,9.0,19,0.5,2.2
2023-10-29,no,10th & H St NE,39.0,44.0,5.0,19,0.3,2.1
2023-10-30,yes,10th & H St NE,29.0,25.0,-4.0,19,-0.2,1.5
2023-10-31,yes,10th & H St NE,34.0,34.0,0.0,19,0.0,1.8
2023-11-01,yes,10th & H St NE,28.0,33.0,5.0,19,0.3,1.5
2023-11-02,yes,10th & H St NE,28.0,24.0,-4.0,19,-0.2,1.5
2023-11-03,yes,10th & H St NE,29.0,33.0,4.0,19,0.2,1.5
2023-11-04,no,10th & H St NE,44.0,31.0,-13.0,19,-0.7,2.3
2023-11-05,no,10th & H St NE,21.0,28.0,7.0,19,0.4,1.1
2023-11-06,yes,10th & H St NE,29.0,32.0,3.0,19,0.2,1.5
2023-11-07,yes,10th & H St NE,35.0,34.0,-1.0,19,-0.1,1.8
2023-11-08,yes,10th & H St NE,32.0,36.0,4.0,19,0.2,1.7
2023-11-09,yes,10th & H St NE,35.0,32.0,-3.0,19,-0.2,1.8
2023-11-10,yes,10th & H St NE,32.0,31.0,-1.0,19,-0.1,1.7
2023-11-11,no,10th & H St NE,35.0,33.0,-2.0,19,-0.1,1.8
2023-11-12,no,10th & H St NE,23.0,25.0,2.0,19,0.1,1.2
2023-11-13,yes,10th & H St NE,23.0,26.0,3.0,19,0.2,1.2
2023-11-14,yes,10th & H St NE,29.0,27.0,-2.0,19,-0.1,1.5
2023-11-15,yes,10th & H St NE,31.0,33.0,2.0,19,0.1,1.6
2023-11-16,yes,10th & H St NE,30.0,29.0,-1.0,19,-0.1,1.6
2023-11-17,yes,10th & H St NE,34.0,31.0,-3.0,19,-0.2,1.8
2023-11-18,no,10th & H St NE,35.0,25.0,-10.0,19,-0.5,1.8
2023-11-19,no,10th & H St NE,16.0,21.0,5.0,19,0.3,0.8
2023-11-20,yes,10th & H St NE,23.0,19.0,-4.0,19,-0.2,1.2
2023-11-21,yes,10th & H St NE,8.0,7.0,-1.0,19,-0.1,0.4
2023-11-22,yes,10th & H St NE,16.0,22.0,6.0,19,0.3,0.8
2023-11-23,yes,10th & H St NE,10.0,14.0,4.0,19,0.2,0.5
2023-11-24,yes,10th & H St NE,19.0,17.0,-2.0,19,-0.1,1.0
2023-11-25,no,10th & H St NE,19.0,17.0,-2.0,19,-0.1,1.0
2023-11-26,no,10th & H St NE,8.0,10.0,2.0,19,0.1,0.4
2023-11-27,yes,10th & H St NE,21.0,19.0,-2.0,19,-0.1,1.1
2023-11-28,yes,10th & H St NE,17.0,22.0,5.0,19,0.3,0.9
2023-11-29,yes,10th & H St NE,24.0,24.0,0.0,19,0.0,1.3
2023-11-30,yes,10th & H St NE,25.0,32.0,7.0,19,0.4,1.3
2023-12-01,yes,10th & H St NE,22.0,20.0,-2.0,19,-0.1,1.2
2023-12-02,no,10th & H St NE,43.0,44.0,1.0,19,0.1,2.3
2023-12-03,no,10th & H St NE,25.0,18.0,-7.0,19,-0.4,1.3
2023-12-04,yes,10th & H St NE,26.0,25.0,-1.0,19,-0.1,1.4
2023-12-05,yes,10th & H St NE,30.0,30.0,0.0,19,0.0,1.6
2023-12-06,yes,10th & H St NE,27.0,24.0,-3.0,19,-0.2,1.4
2023-12-07,yes,10th & H St NE,26.0,33.0,7.0,19,0.4,1.4
2023-12-08,yes,10th & H St NE,31.0,33.0,2.0,19,0.1,1.6
2023-12-09,no,10th & H St NE,35.0,33.0,-2.0,19,-0.1,1.8
2023-12-10,no,10th & H St NE,10.0,10.0,0.0,19,0.0,0.5
2023-12-11,yes,10th & H St NE,20.0,21.0,1.0,19,0.1,1.1
2023-12-12,yes,10th & H St NE,27.0,28.0,1.0,19,0.1,1.4
2023-12-13,yes,10th & H St NE,20.0,17.0,-3.0,19,-0.2,1.1
2023-12-14,yes,10th & H St NE,33.0,32.0,-1.0,19,-0.1,1.7
2023-12-15,yes,10th & H St NE,27.0,31.0,4.0,19,0.2,1.4
2023-12-16,no,10th & H St NE,32.0,29.0,-3.0,19,-0.2,1.7
2023-12-17,no,10th & H St NE,17.0,15.0,-2.0,19,-0.1,0.9
2023-12-18,yes,10th & H St NE,18.0,19.0,1.0,19,0.1,0.9
2023-12-19,yes,10th & H St NE,16.0,15.0,-1.0,19,-0.1,0.8
2023-12-20,yes,10th & H St NE,9.0,13.0,4.0,19,0.2,0.5
2023-12-21,yes,10th & H St NE,17.0,18.0,1.0,19,0.1,0.9
2023-12-22,yes,10th & H St NE,14.0,9.0,-5.0,19,-0.3,0.7
2023-12-23,no,10th & H St NE,7.0,8.0,1.0,19,0.1,0.4
2023-12-24,no,10th & H St NE,7.0,6.0,-1.0,19,-0.1,0.4
2023-12-25,yes,10th & H St NE,6.0,8.0,2.0,19,0.1,0.3
2023-12-26,yes,10th & H St NE,2.0,2.0,0.0,19,0.0,0.1
2023-12-27,yes,10th & H St NE,6.0,3.0,-3.0,19,-0.2,0.3
2023-12-28,yes,10th & H St NE,3.0,9.0,6.0,19,0.3,0.2
2023-12-29,yes,10th & H St NE,16.0,15.0,-1.0,19,-0.1,0.8
2023-12-30,no,10th & H St NE,12.0,12.0,0.0,19,0.0,0.6
2023-12-31,no,10th & H St NE,18.0,27.0,9.0,19,0.5,0.9
