DATE,WEEKDAY,STATION,COUNT_PICKUP,COUNT_RETURN,BALANCE,CAPACITY,IMBALANCE_FACTOR,TURNOVER
2023-11-19,no,Jefferson Dr & 14th St SW,81.0,74.0,-7.0,23,-0.3,3.5
2023-11-20,yes,Jefferson Dr & 14th St SW,53.0,52.0,-1.0,23,-0.0,2.3
2023-11-21,yes,Jefferson Dr & 14th St SW,0.0,3.0,3.0,23,0.1,0.0
2023-11-22,yes,Jefferson Dr & 14th St SW,70.0,70.0,0.0,23,0.0,3.0
2023-11-23,yes,Jefferson Dr & 14th St SW,66.0,81.0,15.0,23,0.7,2.9
2023-11-24,yes,Jefferson Dr & 14th St SW,70.0,74.0,4.0,23,0.2,3.0
2023-11-25,no,Jefferson Dr & 14th St SW,58.0,53.0,-5.0,23,-0.2,2.5
2023-11-26,no,Jefferson Dr & 14th St SW,9.0,13.0,4.0,23,0.2,0.4
2023-11-27,yes,Jefferson Dr & 14th St SW,16.0,13.0,-3.0,23,-0.1,0.7
2023-11-28,yes,Jefferson Dr & 14th St SW,9.0,12.0,3.0,23,0.1,0.4
2023-11-29,yes,Jefferson Dr & 14th St SW,8.0,10.0,2.0,23,0.1,0.3
2023-11-30,yes,Jefferson Dr & 14th St SW,23.0,18.0,-5.0,23,-0.2,1.0
2023-12-01,yes,Jefferson Dr & 14th St SW,13.0,14.0,1.0,23,0.0,0.6
2023-12-02,no,Jefferson Dr & 14th St SW,95.0,94.0,-1.0,23,-0.0,4.1
2023-12-03,no,Jefferson Dr & 14th St SW,22.0,34.0,12.0,23,0.5,1.0
2023-12-04,yes,Jefferson Dr & 14th St SW,30.0,30.0,0.0,23,0.0,1.3
2023-12-05,yes,Jefferson Dr & 14th St SW,28.0,25.0,-3.0,23,-0.1,1.2
2023-12-06,yes,Jefferson Dr & 14th St SW,27.0,29.0,2.0,23,0.1,1.2
2023-12-07,yes,Jefferson Dr & 14th St SW,29.0,26.0,-3.0,23,-0.1,1.3
2023-12-08,yes,Jefferson Dr & 14th St SW,50.0,57.0,7.0,23,0.3,2.2
2023-12-09,no,Jefferson Dr & 14th St SW,78.0,78.0,0.0,23,0.0,3.4
2023-12-10,no,Jefferson Dr & 14th St SW,12.0,12.0,0.0,23,0.0,0.5
2023-12-11,yes,Jefferson Dr & 14th St SW,10.0,8.0,-2.0,23,-0.1,0.4
2023-12-12,yes,Jefferson Dr & 14th St SW,28.0,22.0,-6.0,23,-0.3,1.2
2023-12-13,yes,Jefferson Dr & 14th St SW,34.0,32.0,-2.0,23,-0.1,1.5
2023-12-14,yes,Jefferson Dr & 14th St SW,25.0,32.0,7.0,23,0.3,1.1
2023-12-15,yes,Jefferson Dr & 14th St SW,48.0,47.0,-1.0,23,-0.0,2.1
2023-12-16,no,Jefferson Dr & 14th St SW,70.0,60.0,-10.0,23,-0.4,3.0
2023-12-17,no,Jefferson Dr & 14th St SW,26.0,32.0,6.0,23,0.3,1.1
2023-12-18,yes,Jefferson Dr & 14th St SW,22.0,31.0,9.0,23,0.4,1.0
2023-12-19,yes,Jefferson Dr & 14th St SW,21.0,17.0,-4.0,23,-0.2,0.9
2023-12-20,yes,Jefferson Dr & 14th St SW,11.0,14.0,3.0,23,0.1,0.5
2023-12-21,yes,Jefferson Dr & 14th St SW,33.0,25.0,-8.0,23,-0.3,1.4
2023-12-22,yes,Jefferson Dr & 14th St SW,34.0,33.0,-1.0,23,-0.0,1.5
2023-12-23,no,Jefferson Dr & 14th St SW,48.0,54.0,6.0,23,0.3,2.1
2023-12-24,no,Jefferson Dr & 14th St SW,32.0,44.0,12.0,23,0.5,1.4
2023-12-25,yes,Jefferson Dr & 14th St SW,83.0,82.0,-1.0,23,-0.0,3.6
2023-12-26,yes,Jefferson Dr & 14th St SW,27.0,30.0,3.0,23,0.1,1.2
2023-12-27,yes,Jefferson Dr & 14th St SW,8.0,5.0,-3.0,23,-0.1,0.3
2023-12-28,yes,Jefferson Dr & 14th St SW,63.0,58.0,-5.0,23,-0.2,2.7
2023-12-29,yes,Jefferson Dr & 14th St SW,109.0,116.0,7.0,23,0.3,4.7
2023-12-30,no,Jefferson Dr & 14th St SW,42.0,55.0,13.0,23,0.6,1.8
2023-12-31,no,Jefferson Dr & 14th St SW,42.0,42.0,0.0,23,0.0,1.8
