DATE,WEEKDAY,STATION,COUNT_PICKUP,COUNT_RETURN,BALANCE,CAPACITY,IMBALANCE_FACTOR,TURNOVER
2023-10-11,yes,12th & Varnum St NE,6.0,7.0,1.0,15,0.1,0.4
2023-10-12,yes,12th & Varnum St NE,3.0,2.0,-1.0,15,-0.1,0.2
2023-10-13,yes,12th & Varnum St NE,9.0,8.0,-1.0,15,-0.1,0.6
2023-10-14,no,12th & Varnum St NE,1.0,2.0,1.0,15,0.1,0.1
2023-10-15,no,12th & Varnum St NE,4.0,2.0,-2.0,15,-0.1,0.3
2023-10-16,yes,12th & Varnum St NE,2.0,2.0,0.0,15,0.0,0.1
2023-10-17,yes,12th & Varnum St NE,3.0,2.0,-1.0,15,-0.1,0.2
2023-10-18,yes,12th & Varnum St NE,3.0,4.0,1.0,15,0.1,0.2
2023-10-19,yes,12th & Varnum St NE,5.0,4.0,-1.0,15,-0.1,0.3
2023-10-20,yes,12th & Varnum St NE,3.0,2.0,-1.0,15,-0.1,0.2
2023-10-21,no,12th & Varnum St NE,2.0,1.0,-1.0,15,-0.1,0.1
2023-10-22,no,12th & Varnum St NE,2.0,2.0,0.0,15,0.0,0.1
2023-10-23,yes,12th & Varnum St NE,4.0,4.0,0.0,15,0.0,0.3
2023-10-24,yes,12th & Varnum St NE,4.0,4.0,0.0,15,0.0,0.3
2023-10-25,yes,12th & Varnum St NE,4.0,4.0,0.0,15,0.0,0.3
2023-10-26,yes,12th & Varnum St NE,5.0,4.0,-1.0,15,-0.1,0.3
2023-10-27,yes,12th & Varnum St NE,3.0,3.0,0.0,15,0.0,0.2
2023-10-28,no,12th & Varnum St NE,3.0,3.0,0.0,15,0.0,0.2
2023-10-29,no,12th & Varnum St NE,5.0,8.0,3.0,15,0.2,0.3
2023-10-30,yes,12th & Varnum St NE,3.0,4.0,1.0,15,0.1,0.2
2023-10-31,yes,12th & Varnum St NE,2.0,3.0,1.0,15,0.1,0.1
2023-11-01,yes,12th & Varnum St NE,3.0,3.0,0.0,15,0.0,0.2
2023-11-02,yes,12th & Varnum St NE,1.0,2.0,1.0,15,0.1,0.1
2023-11-03,yes,12th & Varnum St NE,4.0,1.0,-3.0,15,-0.2,0.3
2023-11-04,no,12th & Varnum St NE,1.0,4.0,3.0,15,0.2,0.1
2023-11-05,no,12th & Varnum St NE,6.0,2.0,-4.0,15,-0.3,0.4
2023-11-06,yes,12th & Varnum St NE,3.0,1.0,-2.0,15,-0.1,0.2
2023-11-07,yes,12th & Varnum St NE,3.0,3.0,0.0,15,0.0,0.2
2023-11-08,yes,12th & Varnum St NE,5.0,3.0,-2.0,15,-0.1,0.3
2023-11-09,yes,12th & Varnum St NE,3.0,4.0,1.0,15,0.1,0.2
2023-11-10,yes,12th & Varnum St NE,1.0,2.0,1.0,15,0.1,0.1
2023-11-11,no,12th & Varnum St NE,3.0,4.0,1.0,15,0.1,0.2
2023-11-13,yes,12th & Varnum St NE,3.0,3.0,0.0,15,0.0,0.2
2023-11-14,yes,12th & Varnum St NE,2.0,4.0,2.0,15,0.1,0.1
2023-11-15,yes,12th & Varnum St NE,3.0,3.0,0.0,15,0.0,0.2
2023-11-16,yes,12th & Varnum St NE,4.0,4.0,0.0,15,0.0,0.3
2023-11-17,yes,12th & Varnum St NE,4.0,3.0,-1.0,15,-0.1,0.3
2023-11-18,no,12th & Varnum St NE,2.0,4.0,2.0,15,0.1,0.1
